Keyword,gsmarena.com,91mobiles.com,gadgetsnow.com,digit.in,gadgets.ndtv.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,gsmarena.com (pages),91mobiles.com (pages),gadgetsnow.com (pages),digit.in (pages),gadgets.ndtv.com (pages)
realme 7i,2,7,10,8,4,550000,60,0.01,1,68,https://www.gsmarena.com/realme_7i-10430.php,https://www.91mobiles.com/realme-7i-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-7i,https://www.digit.in/mobile-phones/realme-7i-price-211515.html,https://gadgets.ndtv.com/realme-7i-price-in-india-96920
realme c11,1,5,12,10,2,550000,53,0.01,1,80,https://www.gsmarena.com/realme_c11-10308.php,https://www.91mobiles.com/realme-c11-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-C11,https://www.digit.in/mobile-phones/realme-c11-price-204777.html,https://gadgets.ndtv.com/realme-c11-price-in-india-95158
realme mobile,8,3,24,10,5,550000,65,0.05,1,75,https://www.gsmarena.com/realme-phones-118.php,https://www.91mobiles.com/realme-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/filters/brand=RealMe&price-range=30001-to-40000,https://www.digit.in/realme-mobile-phones/,https://gadgets.ndtv.com/mobiles/realme-price-list
redmi 7i,1,7,10,8,4,550000,55,0.01,1,65,https://www.gsmarena.com/realme_7i-10430.php,https://www.91mobiles.com/realme-7i-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-7i,https://www.digit.in/mobile-phones/realme-7i-price-211515.html,https://gadgets.ndtv.com/realme-7i-price-in-india-96920
redmi 8a,2,6,14,11,3,550000,59,1.15,1,87,https://www.gsmarena.com/xiaomi_redmi_8a-9897.php,https://www.91mobiles.com/xiaomi-redmi-8a-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-8A,https://www.digit.in/mobile-phones/xiaomi-redmi-8a-price-189670.html,https://gadgets.ndtv.com/redmi-8a-price-in-india-91140
redmi note 7,1,6,10,12,2,550000,54,0.06,1,79,https://www.gsmarena.com/xiaomi_redmi_note_7-9513.php,https://www.91mobiles.com/xiaomi-redmi-note-7-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-7,https://www.digit.in/mobile-phones/xiaomi-redmi-note-7-price-177649.html,https://gadgets.ndtv.com/redmi-note-7-price-in-india-8948
samsung a51,1,5,13,54,4,550000,45,0.05,1,95600000,https://www.gsmarena.com/samsung_galaxy_a51-9963.php,https://www.91mobiles.com/samsung-galaxy-a51-price-in-india,https://www.gadgetsnow.com/mobile-phones/Samsung-Galaxy-A51,https://www.digit.in/mobile-phones/samsung-galaxy-a51-price-191874.html,https://gadgets.ndtv.com/samsung-galaxy-a51-price-in-india-91334
samsung new mobile,6,2,15,7,3,550000,72,0.03,1,64,https://www.gsmarena.com/samsung-phones-9.php,https://www.91mobiles.com/samsung-mobile-price-list-in-india,https://www.gadgetsnow.com/upcoming-mobile-phones/Samsung,https://www.digit.in/samsung-mobile-phones/,https://gadgets.ndtv.com/mobiles/samsung-price-list
vivo v17,3,6,10,8,2,550000,57,0.07,1,72,https://www.gsmarena.com/vivo_v17-9982.php,https://www.91mobiles.com/vivo-v17-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-V17,https://www.digit.in/mobile-phones/vivo-v17-price-192602.html,https://gadgets.ndtv.com/vivo-v17-price-in-india-91311
vivo v9,2,6,7,19,1,550000,47,0.07,1,82,https://www.gsmarena.com/vivo_v9-9117.php,https://www.91mobiles.com/vivo-v9-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-V9,https://www.digit.in/mobile-phones/vivo-v9-price-128887.html,https://gadgets.ndtv.com/vivo-v9-4663
vivo y12,1,8,11,9,3,550000,50,0.1,1,94,https://www.gsmarena.com/vivo_y12-9729.php,https://www.91mobiles.com/vivo-y12-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-Y12,https://www.digit.in/mobile-phones/vivo-y12-price-182729.html,https://gadgets.ndtv.com/vivo-y12-price-in-india-13073
vivo y50,2,7,8,10,1,550000,44,0.07,1,3730000,https://www.gsmarena.com/vivo_y50-10174.php,https://www.91mobiles.com/vivo-y50-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-Y50,https://www.digit.in/mobile-phones/vivo-y50-price-195971.html,https://gadgets.ndtv.com/vivo-y50-price-in-india-91995
k20 pro,2,7,15,12,3,500000,57,0.01,1,98,https://www.gsmarena.com/xiaomi_redmi_k20_pro-9708.php,https://www.91mobiles.com/xiaomi-redmi-k20-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-K20-Pro,https://www.digit.in/mobile-phones/xiaomi-redmi-k20-pro-price-182897.html,https://gadgets.ndtv.com/xiaomi-redmi-k20-pro-price-in-india-13092
6 iphone,2,6,10,9,1,450000,62,0.09,1,3050000000,https://www.gsmarena.com/apple_iphone_6-6378.php,https://www.91mobiles.com/apple-iphone-6-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-6-16GB,https://www.digit.in/mobile-phones/apple-iphone-6-32gb-price-58279.html,https://gadgets.ndtv.com/apple-iphone-6-1973
9,9,37,74,57,14,450000,73,0.01,0.01,25270000000,https://www.gsmarena.com/oneplus_9_pro-10806.php,https://www.91mobiles.com/oneplus-9-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Oneplus-9,https://www.digit.in/mobile-phones/oneplus-9-pro-price-217159.html,https://gadgets.ndtv.com/oneplus-oneplus-9-pro-price-in-india-100444
apple iphone,10,22,29,41,7,450000,75,1.59,1,76,https://www.gsmarena.com/apple_iphone-1827.php,https://www.91mobiles.com/apple-iphone-7-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-11,https://www.digit.in/mobile-phones/apple-iphone-12-price-193316.html,https://gadgets.ndtv.com/mobiles/apple-phones
apple mobiles,7,4,20,8,1,450000,62,1.66,1,70,https://www.gsmarena.com/apple-phones-48.php,https://www.91mobiles.com/apple-mobile-price-list-in-india,https://www.gadgetsnow.com/upcoming-mobile-phones/Apple,https://www.digit.in/apple-mobile-phones/,https://gadgets.ndtv.com/mobiles/apple-price-list
iphone 12 price in india,28,5,8,7,1,450000,58,1.11,1,65,https://www.gsmarena.com/apple_iphone_12-10509.php,https://www.91mobiles.com/apple-iphone-12-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12,https://www.digit.in/mobile-phones/apple-iphone-12-price-193316.html,https://gadgets.ndtv.com/iphone-12-price-in-india-97670
iphone 6,1,7,8,10,2,450000,57,0.09,1,86,https://www.gsmarena.com/apple_iphone_6-6378.php,https://www.91mobiles.com/apple-iphone-6-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-6-16GB,https://www.digit.in/mobile-phones/apple-iphone-6-32gb-price-58279.html,https://gadgets.ndtv.com/apple-iphone-6-1973
iphone 7 plus,1,7,8,21,2,450000,62,0.1,1,3510000000,https://www.gsmarena.com/apple_iphone_7_plus-8065.php,https://www.91mobiles.com/apple-iphone-7-plus-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-7-Plus,https://www.digit.in/mobile-phones/apple-iphone-7-plus-128gb-price-126849.html,https://gadgets.ndtv.com/apple-iphone-7-plus-3767
mi 10,3,7,10,8,5,450000,67,0.02,1,76,https://www.gsmarena.com/xiaomi_mi_10_5g-10082.php,https://www.91mobiles.com/xiaomi-mi-10-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Mi-10,https://www.digit.in/mobile-phones/xiaomi-mi-10-price-194457.html,https://gadgets.ndtv.com/xiaomi-mi-10-price-in-india-91386
oneplus 7,2,6,7,11,3,450000,64,0.01,1,75,https://www.gsmarena.com/oneplus_7-9623.php,https://www.91mobiles.com/oneplus-7-price-in-india,https://www.gadgetsnow.com/mobile-phones/OnePlus-7,https://www.digit.in/mobile-phones/oneplus-7-128gb-price-182379.html,https://gadgets.ndtv.com/oneplus-7-12235
oneplus 7 pro,3,6,13,18,4,450000,65,0.01,1,81,https://www.gsmarena.com/oneplus_7_pro-9689.php,https://www.91mobiles.com/oneplus-7-pro-price-in-india,https://www.gadgetsnow.com/mobiles/oneplus-7-oneplus-7-pro-oneplus-7t-and-oneplus-7t-pro-get-new-update/articleshow/82902567.cms,https://www.digit.in/mobile-phones/oneplus-7-pro-12gb-price-182407.html,https://gadgets.ndtv.com/oneplus-7-pro-13029
oneplus 8,2,6,11,5,4,450000,71,0.02,1,77,https://www.gsmarena.com/oneplus_8-10161.php,https://www.91mobiles.com/oneplus-8-price-in-india,https://www.gadgetsnow.com/mobile-phones/OnePlus-8,https://www.digit.in/mobile-phones/oneplus-8-price-193302.html,https://gadgets.ndtv.com/oneplus-8-price-in-india-91438
oppo a5s,4,8,9,14,1,450000,45,0.04,1,65,https://www.gsmarena.com/oppo_a5s_(ax5s)-9626.php,https://www.91mobiles.com/oppo-a5s-price-in-india,https://www.gadgetsnow.com/mobile-phones/OPPO-A5s,https://www.digit.in/mobile-phones/oppo-a5s-64gb-price-181623.html,https://gadgets.ndtv.com/oppo-a5s-13037
